Epoch,Time (s)
1,15.591604232788086
2,12.240949869155884
3,12.089482307434082
4,11.953897476196289
5,12.028704404830933
6,12.056988954544067
7,12.125355005264282
8,12.079395532608032
9,12.215869426727295
10,12.143799543380737
11,12.026102066040039
12,12.023884773254395
13,11.998397827148438
14,12.076269626617432
15,12.047899961471558
16,12.126080513000488
17,12.095091819763184
18,12.009100437164307
19,12.028503894805908
20,12.027977228164673
21,12.022470712661743
22,11.96326231956482
23,12.012111186981201
24,12.070748329162598
25,11.98254108428955
26,12.04524850845337
27,12.0298433303833
28,11.978370666503906
29,12.077207565307617
30,12.072184324264526
