Epoch,Time (s)
1,19.34157395362854
2,13.82557463645935
3,13.7908935546875
4,13.992832899093628
5,13.543853521347046
6,13.655124425888062
7,13.674154281616211
8,13.633704900741577
9,14.163509607315063
10,13.134695291519165
11,13.271682262420654
12,13.64580774307251
13,13.622678518295288
14,13.85083556175232
15,13.680874824523926
16,13.406418561935425
17,13.517558097839355
18,13.707731246948242
19,13.522952318191528
20,13.279678344726562
21,13.53793978691101
22,13.44652271270752
23,13.501865148544312
24,13.95496654510498
25,13.728427648544312
26,13.362123012542725
27,13.163259744644165
28,13.960288524627686
29,13.787334680557251
30,13.78349757194519
31,13.677263975143433
32,13.71810007095337
33,13.389371633529663
34,13.851523876190186
35,13.409748792648315
36,13.47704529762268
37,13.142164707183838
38,14.049777507781982
39,13.887441158294678
40,13.892627477645874
41,13.73546051979065
42,13.565560102462769
43,13.861870050430298
44,13.881244659423828
45,13.62194538116455
46,13.82165265083313
47,13.913339614868164
48,13.349245309829712
49,13.473094940185547
50,13.186601638793945
