Epoch,Time (s)
1,18.653608083724976
2,13.744380712509155
3,14.247152090072632
4,13.852619886398315
5,14.026248216629028
6,14.298827171325684
7,14.167554140090942
8,13.016376256942749
9,13.732402563095093
10,13.882075786590576
11,13.852590560913086
12,13.773512601852417
13,13.835472106933594
14,13.838019847869873
15,13.961851358413696
16,14.111839056015015
17,13.968051671981812
18,13.707820892333984
19,13.66176438331604
20,12.463474750518799
21,13.486170768737793
22,13.991433143615723
23,13.4396390914917
24,14.048378705978394
25,13.764561176300049
26,13.824796915054321
27,14.131824254989624
28,13.741591930389404
29,13.93966031074524
30,13.743979454040527
31,13.343229055404663
32,13.88417363166809
33,13.452482461929321
34,13.616363048553467
35,13.949126482009888
36,14.092522859573364
37,14.287014722824097
38,14.15879225730896
39,13.67834734916687
40,13.850355386734009
41,13.770998477935791
42,13.610242366790771
43,13.490067720413208
44,13.732232809066772
45,14.043622016906738
46,14.274711847305298
47,14.310731410980225
48,13.459903240203857
49,14.259323835372925
50,13.441148281097412
