Epoch,Time (s)
1,42.02056908607483
2,13.923227548599243
3,13.80024266242981
4,13.917888641357422
5,13.871179580688477
6,13.859739780426025
7,13.89037537574768
8,13.899608850479126
9,13.974648475646973
10,13.810048580169678
11,14.053455591201782
12,13.900862455368042
13,13.974694013595581
14,13.957131624221802
15,13.97373652458191
16,13.996620655059814
17,13.969078302383423
18,14.091486692428589
19,14.033135890960693
20,13.955046892166138
21,15.257938861846924
22,13.810851573944092
23,13.860846042633057
24,13.83989930152893
25,13.864368677139282
26,13.871267080307007
27,13.756271839141846
28,13.902030229568481
29,13.930108308792114
30,13.817972660064697
