Epoch,Time (s)
1,16.45388102531433
2,14.25395679473877
3,13.792382717132568
4,13.8228120803833
5,14.123273134231567
6,13.806911706924438
7,13.638648271560669
8,13.501334428787231
9,14.044212341308594
10,13.767461776733398
11,14.28150987625122
12,13.81755518913269
13,13.834061622619629
14,13.913532257080078
15,14.01990818977356
16,13.763003826141357
17,13.450814962387085
18,13.844094038009644
19,14.165358543395996
20,13.795242309570312
21,13.716529846191406
22,13.803591966629028
23,13.42404294013977
24,14.162020206451416
25,14.03324580192566
26,14.066655158996582
27,13.89036250114441
28,13.964167356491089
29,14.168794393539429
30,14.02132272720337
31,13.989306449890137
32,13.30729341506958
33,14.00765347480774
34,14.057124376296997
35,13.868186473846436
36,13.842901945114136
37,14.044765949249268
38,13.633971691131592
39,13.961227416992188
40,14.240030765533447
41,13.906803369522095
42,13.588091373443604
43,13.921842098236084
44,13.884315490722656
45,13.776625394821167
46,13.637770175933838
47,14.363826274871826
48,13.779808759689331
49,13.961472988128662
50,13.982354164123535
