Epoch,Time (s)
1,44.574726819992065
2,14.075731039047241
3,13.940876483917236
4,13.949005126953125
5,14.010373592376709
6,13.99561882019043
7,13.93346619606018
8,13.97859525680542
9,13.964537143707275
10,14.234005212783813
11,14.094375848770142
12,14.180812120437622
13,14.34129810333252
14,14.284791946411133
15,14.09023404121399
16,14.17263913154602
17,14.122769832611084
18,14.184555053710938
19,14.21308946609497
20,14.106563091278076
21,14.027166843414307
22,14.17512321472168
23,14.22046947479248
24,14.075544595718384
25,14.071389198303223
26,14.109246969223022
27,14.102200984954834
28,13.995856046676636
29,14.009180784225464
30,14.050049543380737
