Model Name,Date,Train Time,Batch Size,Epoch #,Epochs,Loss,Accuracy,True Positives,True Negatives,False Positives,False Negatives,AUC,Validation Loss,Validation Accuracy,Validation True Positives,Validation True Negatives,Validation False Positives,Validation False Negatives,Validation AUC
square,27/04/2020 12:41,922.7769644260406,32,0,10,0.4160400616111498,0.7748263478279114,119406.0,93617.0,18099.0,43808.0,0.8825244307518005,0.14391255548459855,0.9538450837135316,6894.0,6973.0,323.0,348.0,0.9841400384902954
square,27/04/2020 12:41,922.7769644260406,32,1,10,0.15138317060554915,0.9527261257171632,130327.0,131606.0,7178.0,5819.0,0.9830684661865234,0.12420644559256228,0.9602421522140504,6942.0,7018.0,275.0,303.0,0.9884852170944214
square,27/04/2020 12:41,922.7769644260406,32,2,10,0.1342624477320455,0.9578620195388794,130929.0,132416.0,6576.0,5009.0,0.9860605597496032,0.11403098729900192,0.9650570750236512,6897.0,7133.0,320.0,188.0,0.990336000919342
square,27/04/2020 12:41,922.7769644260406,32,3,10,0.12383662464266992,0.96083003282547,131281.0,132880.0,6224.0,4545.0,0.9877678751945496,0.10804449179253202,0.963406264781952,6982.0,7024.0,235.0,297.0,0.9911307096481324
square,27/04/2020 12:41,922.7769644260406,32,4,10,0.11510438104340852,0.9637144207954408,131567.0,133387.0,5938.0,4038.0,0.9891870021820068,0.09713982403189178,0.9689090847969056,6954.0,7132.0,263.0,189.0,0.991744875907898
square,27/04/2020 12:41,922.7769644260406,32,5,10,0.10855571725339187,0.9658494591712952,131870.0,133671.0,5635.0,3754.0,0.9902909398078918,0.09188546587593012,0.9706974625587464,6981.0,7131.0,236.0,190.0,0.9925822615623474
square,27/04/2020 12:41,922.7769644260406,32,6,10,0.10368494151758824,0.9674317240715028,132085.0,133891.0,5420.0,3534.0,0.9909579753875732,0.09067620934009107,0.9715229272842408,7001.0,7123.0,216.0,198.0,0.9926977157592772
square,27/04/2020 12:41,922.7769644260406,32,7,10,0.10027100544077204,0.9685810804367064,132272.0,134020.0,5233.0,3405.0,0.9914719462394714,0.0879262933062464,0.9718668460845948,7001.0,7128.0,216.0,193.0,0.9933401942253112
square,27/04/2020 12:41,922.7769644260406,32,8,10,0.09668652862841567,0.969566822052002,132399.0,134164.0,5106.0,3261.0,0.991973042488098,0.08381111907375156,0.9739992022514344,7004.0,7156.0,213.0,165.0,0.993585169315338
square,27/04/2020 12:41,922.7769644260406,32,9,10,0.09401236373344593,0.9703561067581176,132476.0,134304.0,5029.0,3121.0,0.9923542737960817,0.08359239066540088,0.9741367697715759,7009.0,7153.0,208.0,168.0,0.9935147762298584
taylor_sigmoid,27/04/2020 13:02,1258.3590135574339,32,0,10,0.4073071535424824,0.7898083329200745,110025.0,107117.0,27480.0,30308.0,0.8919042944908142,0.19225070729784074,0.9336910247802734,6748.0,6826.0,469.0,495.0,0.9752965569496156
taylor_sigmoid,27/04/2020 13:02,1258.3590135574339,32,1,10,0.19474840199067586,0.9342814683914183,128396.0,128466.0,9109.0,8959.0,0.9741760492324828,0.16631734525137318,0.9435960650444032,6835.0,6883.0,382.0,438.0,0.9796887040138244
taylor_sigmoid,27/04/2020 13:02,1258.3590135574339,32,2,10,0.1754991893012895,0.9426472187042236,129261.0,129901.0,8244.0,7524.0,0.9777000546455384,0.15846502054049644,0.95068097114563,6776.0,7045.0,441.0,276.0,0.9811399579048156
taylor_sigmoid,27/04/2020 13:02,1258.3590135574339,32,3,10,0.16668833718768847,0.9468010067939758,129693.0,130611.0,7812.0,6814.0,0.979231894016266,0.15739105697805802,0.9446966648101808,6895.0,6839.0,322.0,482.0,0.9821412563323976
taylor_sigmoid,27/04/2020 13:02,1258.3590135574339,32,4,10,0.16070428253070007,0.948674201965332,129891.0,130928.0,7614.0,6497.0,0.98035329580307,0.14544428921677352,0.9535699486732484,6855.0,7008.0,362.0,313.0,0.9829632639884948
taylor_sigmoid,27/04/2020 13:02,1258.3590135574339,32,5,10,0.15602787777055752,0.950867474079132,130067.0,131355.0,7438.0,6070.0,0.9811220169067384,0.14121666957784024,0.95501446723938,6844.0,7040.0,373.0,281.0,0.9836490750312804
taylor_sigmoid,27/04/2020 13:02,1258.3590135574339,32,6,10,0.15199778035390946,0.9523587822914124,130203.0,131629.0,7302.0,5796.0,0.98179429769516,0.13805926705596944,0.955358386039734,6867.0,7022.0,350.0,299.0,0.9842774271965028
taylor_sigmoid,27/04/2020 13:02,1258.3590135574339,32,7,10,0.1495567132873568,0.9538937211036682,130348.0,131906.0,7157.0,5519.0,0.9821614027023317,0.13572717206582094,0.9559086561203004,6874.0,7023.0,343.0,298.0,0.9847332239151
taylor_sigmoid,27/04/2020 13:02,1258.3590135574339,32,8,10,0.14716564510534566,0.9539119005203248,130285.0,131974.0,7220.0,5451.0,0.9825816154479979,0.13388308138167748,0.9562525749206544,6883.0,7019.0,334.0,302.0,0.9850675463676452
taylor_sigmoid,27/04/2020 13:02,1258.3590135574339,32,9,10,0.14517102552403668,0.9550758600234984,130434.0,132145.0,7071.0,5280.0,0.9829461574554444,0.13406309244718906,0.955702304840088,6906.0,6988.0,311.0,333.0,0.98537278175354
chebyshev_sigmoid,27/04/2020 13:25,1347.358677148819,32,0,10,0.44937434612016897,0.7645182609558105,106964.0,103225.0,30541.0,34200.0,0.8662999868392944,0.1995190028221641,0.9303893446922302,6736.0,6790.0,481.0,531.0,0.974306344985962
chebyshev_sigmoid,27/04/2020 13:25,1347.358677148819,32,1,10,0.19850973551311413,0.9330266118049622,128394.0,128123.0,9111.0,9302.0,0.9738335013389589,0.17341721342067587,0.9420828223228456,6789.0,6907.0,428.0,414.0,0.9789345860481262
chebyshev_sigmoid,27/04/2020 13:25,1347.358677148819,32,2,10,0.17892707971410815,0.9418215751647948,129387.0,129548.0,8118.0,7877.0,0.9775926470756532,0.16126423836275086,0.9481359124183656,6815.0,6969.0,402.0,352.0,0.9809798002243042
chebyshev_sigmoid,27/04/2020 13:25,1347.358677148819,32,3,10,0.1678080816347489,0.9462008476257324,129819.0,130320.0,7686.0,7105.0,0.9795381426811218,0.15775399344842198,0.9445590972900392,6898.0,6834.0,319.0,487.0,0.9823455214500428
chebyshev_sigmoid,27/04/2020 13:25,1347.358677148819,32,4,10,0.1603093533721315,0.9493398070335388,130054.0,130948.0,7451.0,6477.0,0.9807136654853821,0.14633490556684725,0.9524694085121156,6871.0,6976.0,346.0,345.0,0.9830961227416992
chebyshev_sigmoid,27/04/2020 13:25,1347.358677148819,32,5,10,0.15628257845646815,0.951027512550354,130180.0,131286.0,7325.0,6139.0,0.9812986850738524,0.14206014958325985,0.9539826512336732,6860.0,7009.0,357.0,312.0,0.9837898015975952
chebyshev_sigmoid,27/04/2020 13:25,1347.358677148819,32,6,10,0.15277785043185835,0.9521878361701964,130278.0,131507.0,7227.0,5918.0,0.9818562269210817,0.13872190818245925,0.955702304840088,6883.0,7011.0,334.0,310.0,0.9843229651451112
chebyshev_sigmoid,27/04/2020 13:25,1347.358677148819,32,7,10,0.14957816033446505,0.9534499645233154,130350.0,131782.0,7155.0,5643.0,0.9825382232666016,0.13614429272931647,0.9561150074005128,6891.0,7009.0,326.0,312.0,0.9850227832794192
