Model Name,Date,Train Time,Batch Size,Epoch #,Epochs,Loss,Accuracy,True Positives,True Negatives,False Positives,False Negatives,AUC,Validation Loss,Validation Accuracy,Validation True Positives,Validation True Negatives,Validation False Positives,Validation False Negatives,Validation AUC
v2_square,20/05/2020 18:02,1079.7852070331571,32,8,10,0.0928347442384628,0.9709926247596741,132538.0,134417.0,4933.0,3042.0,0.9925410747528076,0.08363165659298266,0.9733113050460817,6997.0,7153.0,254.0,134.0,0.9935057163238524
v2_square,20/05/2020 18:02,1079.7852070331571,32,9,10,0.09065455528877836,0.9713054299354552,132594.0,134447.0,4877.0,3012.0,0.9928879737854004,0.0824329450425165,0.973861575126648,7028.0,7130.0,223.0,157.0,0.9937798976898192
v2_taylor_sigmoid,20/05/2020 18:27,1484.0592839717865,32,0,10,0.4332322716696692,0.7691848874092102,106803.0,104669.0,30668.0,32790.0,0.8734626770019531,0.20229854018689186,0.9315586686134338,6787.0,6756.0,464.0,531.0,0.9728777408599854
v2_taylor_sigmoid,20/05/2020 18:27,1484.0592839717865,32,1,10,0.1996920759387245,0.9320590496063232,128259.0,127992.0,9212.0,9467.0,0.9734241962432858,0.18099578736179026,0.9436648488044742,6769.0,6950.0,482.0,337.0,0.9764553308486938
v2_taylor_sigmoid,20/05/2020 18:27,1484.0592839717865,32,2,10,0.18158221189864213,0.9403738975524902,129031.0,129506.0,8440.0,7953.0,0.9768638610839844,0.17249492855227774,0.948342263698578,6767.0,7020.0,484.0,267.0,0.9783017039299012
v2_taylor_sigmoid,20/05/2020 18:27,1484.0592839717865,32,3,10,0.17193631771626036,0.9445676803588868,129551.0,130139.0,7920.0,7320.0,0.9785494208335876,0.16300218481934864,0.951024889945984,6819.0,7007.0,432.0,280.0,0.9794815182685852
v2_taylor_sigmoid,20/05/2020 18:27,1484.0592839717865,32,4,10,0.16630318471837707,0.9469210505485536,129708.0,130629.0,7763.0,6830.0,0.9795256257057192,0.1583537829473301,0.9508873224258424,6899.0,6925.0,352.0,362.0,0.9803365468978882
v2_taylor_sigmoid,20/05/2020 18:27,1484.0592839717865,32,5,10,0.16173275874190726,0.9485105276107788,129862.0,130912.0,7609.0,6547.0,0.9803193807601928,0.15386606123329669,0.9527445435523988,6861.0,6990.0,390.0,297.0,0.980904757976532
v2_taylor_sigmoid,20/05/2020 18:27,1484.0592839717865,32,6,10,0.15800593365739207,0.9495508074760436,129933.0,131127.0,7538.0,6332.0,0.9810225963592528,0.1509566664109451,0.9539138674736024,6866.0,7002.0,385.0,285.0,0.9814215302467346
v2_taylor_sigmoid,20/05/2020 18:27,1484.0592839717865,32,7,10,0.15521902780120395,0.9506747126579284,130123.0,131246.0,7348.0,6213.0,0.9815157651901244,0.1484926954572381,0.9534323811531068,6902.0,6959.0,349.0,328.0,0.9820104837417604
v2_taylor_sigmoid,20/05/2020 18:27,1484.0592839717865,32,8,10,0.152462478674542,0.9519150257110596,130202.0,131508.0,7269.0,5951.0,0.9820346236228944,0.14681022563914126,0.9552208185195924,6862.0,7025.0,389.0,262.0,0.9823500514030457
v2_taylor_sigmoid,20/05/2020 18:27,1484.0592839717865,32,9,10,0.1499694308059068,0.9529989361763,130306.0,131702.0,7165.0,5757.0,0.9825623631477356,0.14482020186679306,0.9552896022796632,6925.0,6963.0,326.0,324.0,0.982896625995636
v2_chebyshev_sigmoid,20/05/2020 18:52,1521.1510441303253,32,0,10,0.4438903605964407,0.7686283588409424,107218.0,104101.0,30253.0,33358.0,0.870855450630188,0.2149056788815283,0.9261246323585508,6798.0,6666.0,453.0,621.0,0.9711971879005432
v2_chebyshev_sigmoid,20/05/2020 18:52,1521.1510441303253,32,1,10,0.20009697029577853,0.9319899678230286,128410.0,127822.0,9061.0,9637.0,0.973898470401764,0.18092815393487435,0.9423579573631288,6796.0,6904.0,455.0,383.0,0.9768468141555786
v2_chebyshev_sigmoid,20/05/2020 18:52,1521.1510441303253,32,2,10,0.18002519308301226,0.9416251182556152,129366.0,129515.0,8105.0,7944.0,0.9775333404541016,0.17233424186824414,0.94765442609787,6809.0,6968.0,442.0,319.0,0.9782054424285888
v2_chebyshev_sigmoid,20/05/2020 18:52,1521.1510441303253,32,3,10,0.1691217662456214,0.9459425806999208,129738.0,130330.0,7733.0,7129.0,0.9792818427085876,0.16220156516593315,0.9493052959442142,6860.0,6941.0,391.0,346.0,0.9795700907707214
v2_chebyshev_sigmoid,20/05/2020 18:52,1521.1510441303253,32,4,10,0.1606434312412455,0.9487360715866088,130059.0,130777.0,7412.0,6682.0,0.9808610677719116,0.15668294613127498,0.9517815113067628,6919.0,6918.0,332.0,369.0,0.9807533025741576
v2_chebyshev_sigmoid,20/05/2020 18:52,1521.1510441303253,32,5,10,0.15508383447245766,0.9511693716049194,130243.0,131262.0,7228.0,6197.0,0.981831967830658,0.15418349101489634,0.9524006247520448,6916.0,6930.0,335.0,357.0,0.9813291430473328
v2_chebyshev_sigmoid,20/05/2020 18:52,1521.1510441303253,32,6,10,0.15149132395391834,0.952737033367157,130388.0,131548.0,7083.0,5911.0,0.9823730587959292,0.14764100487535767,0.9549456834793092,6904.0,6979.0,347.0,308.0,0.9822288751602172
v2_chebyshev_sigmoid,20/05/2020 18:52,1521.1510441303253,32,7,10,0.14773353425850194,0.9541082978248596,130538.0,131775.0,6933.0,5684.0,0.9830960631370544,0.14606382659025166,0.9545329213142396,6943.0,6934.0,308.0,353.0,0.9830160140991212
v2_chebyshev_sigmoid,20/05/2020 18:52,1521.1510441303253,32,8,10,0.1452406435325247,0.9548575878143308,130566.0,131953.0,6905.0,5506.0,0.9834918975830078,0.14107769566990025,0.9568716287612916,6919.0,6992.0,332.0,295.0,0.9834657907485962
v2_chebyshev_sigmoid,20/05/2020 18:52,1521.1510441303253,32,9,10,0.1423488331039761,0.9559924602508544,130614.0,132217.0,6857.0,5242.0,0.9840147495269777,0.14022992054006392,0.9554271697998048,6952.0,6938.0,299.0,349.0,0.984281837940216
v2_taylor_tanh,20/05/2020 19:22,1790.506939649582,32,0,10,0.19088720507805693,0.9368930459022522,128818.0,128762.0,8653.0,8697.0,0.975634217262268,0.16644495772370807,0.9482046961784364,6851.0,6934.0,400.0,353.0,0.9788697957992554
v2_taylor_tanh,20/05/2020 19:22,1790.506939649582,32,1,10,0.16030599918489227,0.9485214352607728,129751.0,131026.0,7720.0,6433.0,0.9806634783744812,0.1490439487948413,0.9552896022796632,6842.0,7046.0,409.0,241.0,0.9820732474327089
v2_taylor_tanh,20/05/2020 19:22,1790.506939649582,32,2,10,0.14354743431027733,0.954512059688568,130356.0,132068.0,7115.0,5391.0,0.983814775943756,0.12980698555703318,0.9598981738090516,6847.0,7108.0,404.0,179.0,0.9864312410354614
v2_taylor_tanh,20/05/2020 19:22,1790.506939649582,32,3,10,0.1325915284048053,0.957818329334259,130712.0,132621.0,6759.0,4838.0,0.9859908819198608,0.1198316871738611,0.9627183675765992,6910.0,7086.0,341.0,201.0,0.987798035144806
