Epoch,Time (s)
1,15.381711721420288
2,12.667322874069214
3,12.451066970825195
4,12.554648160934448
5,12.612708568572998
6,12.467552185058594
7,12.49218487739563
8,12.544456005096436
9,12.528270721435547
10,12.691331148147583
11,12.565700054168701
12,12.390684127807617
13,12.593587875366211
14,12.61116623878479
15,12.516902446746826
16,12.516007900238037
17,12.544837474822998
18,12.628520965576172
19,12.529694557189941
20,12.511364221572876
21,12.658458709716797
22,12.519466638565063
23,12.63929295539856
24,12.586788177490234
25,12.615447282791138
26,12.434467315673828
27,12.44227385520935
28,12.62134075164795
29,12.466589212417603
30,12.586456060409546
