Epoch,Time (s)
1,39.429856061935425
2,15.838706731796265
3,15.692473649978638
4,15.77118706703186
5,15.917324781417847
6,15.789503335952759
7,15.712697505950928
8,15.677695989608765
9,15.578612089157104
10,15.677046060562134
11,15.594710350036621
12,15.662453413009644
13,15.744762420654297
14,15.72822093963623
15,15.696536540985107
16,15.659578561782837
17,15.643752336502075
18,15.660462379455566
19,15.848180055618286
20,15.67237663269043
21,15.686012029647827
22,15.54697322845459
23,15.484026908874512
24,15.503013134002686
25,15.631884574890137
26,15.465850830078125
27,15.576995611190796
28,15.659754276275635
29,15.484537124633789
30,15.559404373168945
