Model Name,Date,Train Time,Batch Size,Epochs,Loss,Accuracy,True Positives,True Negatives,False Positives,False Negatives,AUC,Validation Loss,Validation Accuracy,Validation True Positives,Validation True Negatives,Validation False Positives,Validation False Negatives,Validation AUC
base,20/04/2020 23:32,93.85682559013367,32,1,0.19258114554835395,0.9389699101448059,129049.0,129102.0,8434.0,8345.0,0.9759579300880432,0.13935287202268834,0.9558398723602295,6895.0,7001.0,344.0,298.0,0.9841977953910828
square,20/04/2020 23:47,934.007470369339,32,10,0.36229964429708755,0.8142290711402893,103902.0,119954.0,33581.0,17493.0,0.9187464714050293,0.1365995486530203,0.9569404125213623,6934.0,6978.0,305.0,321.0,0.9852914810180664
square,20/04/2020 23:49,97.83229804039001,32,1,0.37202578623568516,0.810930073261261,103808.0,119141.0,33675.0,18306.0,0.91329026222229,0.13776782854790864,0.9583161473274231,6924.0,7008.0,315.0,291.0,0.9854735136032104
square,20/04/2020 23:50,98.15159153938293,32,1,0.4868979664390095,0.7232786417007446,95500.0,103351.0,41983.0,34096.0,0.8238816261291504,0.15984586706137227,0.9478607773780823,6918.0,6862.0,321.0,437.0,0.9817795157432556
square,20/04/2020 23:52,100.64518737792969,32,1,0.3644306269461828,0.812825083732605,104330.0,119140.0,33153.0,18307.0,0.9171192049980164,0.15640663996713988,0.9554959535598755,6960.0,6931.0,279.0,368.0,0.9855527281761169
square,20/04/2020 23:54,99.92765259742737,32,1,0.4009599009863101,0.781697154045105,98172.0,116740.0,39311.0,20707.0,0.8925039768218994,0.154102599987557,0.9583849310874939,6919.0,7014.0,320.0,285.0,0.9857233166694641
square,20/04/2020 23:56,101.8142557144165,32,1,0.3650017203251142,0.8103626370429993,102910.0,119883.0,34573.0,17564.0,0.9164324998855591,0.14437177394972753,0.9546017050743103,6948.0,6930.0,291.0,369.0,0.9857681393623352
square,20/04/2020 23:57,99.90480089187622,32,1,0.47245677973857875,0.7309969663619995,95954.0,105019.0,41529.0,32428.0,0.832619845867157,0.16031903111716547,0.9517815113067627,6957.0,6880.0,282.0,419.0,0.9844505786895752
square,20/04/2020 23:59,101.23324823379517,32,1,0.3995350389628795,0.794373095035553,100741.0,117656.0,36742.0,19791.0,0.8969477415084839,0.14571575844635545,0.9532260298728943,6933.0,6925.0,306.0,374.0,0.9844173789024353
square,20/04/2020 24:01,99.20700287818909,32,1,0.3368353017130068,0.8307132720947266,107534.0,120854.0,29949.0,16593.0,0.9299781322479248,0.1337702015089659,0.9587976336479187,6936.0,7003.0,303.0,296.0,0.9861398339271545
square,20/04/2020 24:02,100.85572123527527,32,1,0.410567889602706,0.7795620560646057,99731.0,114594.0,37752.0,22853.0,0.885719358921051,0.14855351468681682,0.9556335210800171,6944.0,6949.0,295.0,350.0,0.9858399033546448
square,20/04/2020 24:04,104.11734366416931,32,1,0.34958905224731945,0.8228967189788818,105523.0,120716.0,31960.0,16731.0,0.925076961517334,0.1350231430958252,0.9573531150817871,6942.0,6976.0,297.0,323.0,0.9861603379249573
taylor_sigmoid,20/04/2020 24:25,1251.1096396446228,32,10,0.43085884508667577,0.7704761028289795,106790.0,105037.0,30693.0,32410.0,0.8751806616783142,0.19822701693917752,0.9310083985328674,6821.0,6714.0,418.0,585.0,0.9743512272834778
taylor_sigmoid,20/04/2020 24:27,131.732084274292,32,1,0.41318037930877505,0.7913323640823364,109813.0,107748.0,27670.0,29699.0,0.8902387619018555,0.19931311943923316,0.9316962361335754,6787.0,6758.0,452.0,541.0,0.9733578562736511
taylor_sigmoid,20/04/2020 24:29,133.51317381858826,32,1,0.4166769635264118,0.7815080285072327,108404.0,106456.0,29079.0,30991.0,0.8852593898773193,0.19645560127121167,0.931145966053009,6820.0,6717.0,419.0,582.0,0.974834680557251
taylor_sigmoid,20/04/2020 24:32,133.92613315582275,32,1,0.4298306987049996,0.7748736143112183,107510.0,105526.0,29973.0,31921.0,0.8776748180389404,0.19903614256602237,0.9330719709396362,6759.0,6806.0,480.0,493.0,0.9736810922622681
