Epoch,Time (s)
1,14.087945222854614
2,13.51510739326477
3,13.42766261100769
4,13.45088791847229
5,13.285466432571411
6,13.561745882034302
7,13.709622144699097
8,13.707968950271606
9,13.406863927841187
10,13.768854856491089
11,13.587805271148682
12,13.20143723487854
13,13.538795709609985
14,13.692079067230225
15,13.580700874328613
16,13.188424587249756
17,13.337897300720215
18,13.472384691238403
19,13.691314458847046
20,13.526461124420166
21,13.760355472564697
22,13.436155080795288
23,13.484956741333008
24,13.642647743225098
25,13.979841232299805
26,13.692682266235352
27,13.868526458740234
28,13.376070737838745
29,13.607812404632568
30,13.595674276351929
31,13.704925775527954
32,13.57179045677185
33,13.660237073898315
34,13.436013221740723
35,13.698558807373047
36,13.633706092834473
37,13.405279874801636
38,13.710496187210083
39,13.76820182800293
40,13.586361408233643
41,13.945174932479858
42,13.79208755493164
43,13.595307350158691
44,13.191364765167236
45,13.647083282470703
46,13.628838777542114
47,13.819177865982056
48,13.842060804367065
49,13.497249603271484
50,13.546804904937744
