Epoch,Time (s)
1,15.959207773208618
2,13.390990495681763
3,13.680546760559082
4,13.382319211959839
5,13.424405574798584
6,13.177738666534424
7,13.051292657852173
8,13.12679123878479
9,13.222796201705933
10,13.258580923080444
11,13.389233350753784
12,13.125430583953857
13,13.141329050064087
14,13.684696435928345
15,13.112043380737305
16,13.695903062820435
17,13.674239158630371
18,13.177370548248291
19,13.407382488250732
20,13.537166833877563
21,13.689959526062012
22,13.659021377563477
23,13.05401086807251
24,13.149088859558105
25,13.249900341033936
26,13.098002195358276
27,13.136827230453491
28,13.457502603530884
29,13.398441314697266
30,13.444218873977661
31,13.192935228347778
32,13.342130422592163
33,13.584314107894897
34,13.414875030517578
35,13.37829875946045
36,13.247887372970581
37,13.387150526046753
38,12.982640981674194
39,13.34642744064331
40,13.500276803970337
41,13.334481716156006
42,13.334338903427124
43,13.192234992980957
44,13.508548736572266
45,13.466617822647095
46,13.574341773986816
47,13.152704238891602
48,13.28138780593872
49,13.372150659561157
50,13.4285888671875
