Epoch,Time (s)
1,22.694602251052856
2,16.10744857788086
3,16.152477025985718
4,16.123769998550415
5,17.114596128463745
6,16.305657625198364
7,16.24626636505127
8,15.950904607772827
9,16.261447191238403
10,16.249897480010986
11,16.139544248580933
12,16.01444125175476
13,15.84072494506836
14,16.22901678085327
15,16.211352348327637
16,16.160407304763794
17,16.192541360855103
18,16.280506372451782
19,16.14361023902893
20,16.21530818939209
21,16.111839532852173
22,16.081488609313965
23,16.240298986434937
24,16.190809726715088
25,16.121834993362427
26,15.735099792480469
27,16.25439143180847
28,15.94726014137268
29,16.128435611724854
30,15.658639192581177
31,16.40877628326416
32,15.04139494895935
33,16.33481192588806
34,15.95883846282959
35,16.176440715789795
36,16.302329540252686
37,15.898815631866455
38,15.979274988174438
39,15.847472429275513
40,15.919690608978271
41,16.359566688537598
42,15.735671997070312
43,16.310606479644775
44,15.914045572280884
45,16.158936262130737
46,16.211419343948364
47,16.092220544815063
48,16.178712368011475
49,15.686592102050781
50,15.714250326156616
