Epoch,Time (s)
1,21.0758957862854
2,16.39628791809082
3,16.248146533966064
4,16.20507287979126
5,16.28203058242798
6,16.322295665740967
7,16.42894721031189
8,16.032814979553223
9,16.040459632873535
10,16.130343675613403
11,16.139075756072998
12,16.420937299728394
13,16.30483102798462
14,16.2442626953125
15,16.30988073348999
16,16.592729568481445
17,16.072561979293823
18,16.70128607749939
19,16.54680037498474
20,16.298585176467896
21,16.222105026245117
22,16.114272356033325
23,16.068904876708984
24,16.88478970527649
25,16.135764122009277
26,16.245376348495483
27,16.371291399002075
28,16.191769123077393
29,16.41457176208496
30,16.19447422027588
31,16.30034565925598
32,16.546836614608765
33,16.24613618850708
34,16.424795627593994
35,16.346386194229126
36,16.350674152374268
37,16.353058576583862
38,16.237930297851562
39,16.36863946914673
40,16.184318780899048
41,16.537299156188965
42,16.304410219192505
43,16.174806356430054
44,16.242396354675293
45,16.29053544998169
46,16.69227910041809
47,16.192785501480103
48,16.213141679763794
49,16.147107362747192
50,16.37254524230957
