Epoch,Time (s)
1,14.982709407806396
2,14.678688764572144
3,14.837707757949829
4,14.698172092437744
5,14.6851487159729
6,14.550182819366455
7,14.70565938949585
8,14.572690725326538
9,14.38693881034851
10,14.567558526992798
11,14.45497179031372
12,14.564614534378052
13,14.357175827026367
14,14.656386852264404
15,14.448173522949219
16,14.682250261306763
17,14.510950565338135
18,14.702048301696777
19,14.621803998947144
20,14.687702894210815
21,14.729109525680542
22,14.475706815719604
23,14.644391059875488
24,14.755985021591187
25,14.757296800613403
26,14.521436214447021
27,14.706953287124634
28,14.483654499053955
29,14.329525232315063
30,14.74102783203125
31,14.645695924758911
32,14.559348821640015
33,14.484187364578247
34,14.7341628074646
35,14.579360008239746
36,14.6415696144104
37,14.703634262084961
38,14.856805562973022
39,14.75734567642212
40,14.8940110206604
41,14.646441221237183
42,14.434694051742554
43,14.981895923614502
44,14.822760820388794
45,14.90475606918335
46,14.66841459274292
47,14.7367525100708
48,14.761999368667603
49,14.772456169128418
50,14.677250623703003
