Epoch,Time (s)
1,22.499743938446045
2,16.010947704315186
3,16.28148865699768
4,16.32606053352356
5,16.281274557113647
6,16.214178323745728
7,16.206159830093384
8,16.23387861251831
9,16.10633897781372
10,16.225652933120728
11,16.346765756607056
12,16.008809804916382
13,16.07652497291565
14,16.32046151161194
15,16.191120624542236
16,16.03230333328247
17,16.147066354751587
18,16.132082223892212
19,16.191949129104614
20,15.993242979049683
21,16.238220930099487
22,16.146572589874268
23,16.04939913749695
24,15.999375104904175
25,15.97584342956543
26,16.025891304016113
27,16.02051568031311
28,16.087612628936768
29,16.12799596786499
30,15.928648233413696
31,16.189197540283203
32,16.136680603027344
33,16.222938299179077
34,16.02163600921631
35,16.142210245132446
36,16.181469202041626
37,16.066506385803223
38,16.260947704315186
39,16.143873691558838
40,16.12887740135193
41,16.21768879890442
42,16.119664669036865
43,16.150688886642456
44,15.36463713645935
45,15.729995012283325
46,15.69146203994751
47,15.619776487350464
48,15.694602012634277
49,15.77194595336914
50,15.680841445922852
