Epoch,Time (s)
1,19.766441822052002
2,14.053560256958008
3,13.692716121673584
4,14.418761014938354
5,14.039897441864014
6,14.12120509147644
7,14.099162101745605
8,14.38961672782898
9,13.958585977554321
10,14.186642408370972
11,14.451072931289673
12,14.088789224624634
13,14.249208211898804
14,14.081948041915894
15,14.241364002227783
16,13.936708927154541
17,13.991164922714233
18,14.233277320861816
19,14.240607500076294
20,14.091087579727173
21,14.437491655349731
22,13.811679124832153
23,13.879176378250122
24,14.307814359664917
25,14.326930522918701
26,14.084627628326416
27,14.675195455551147
28,13.981672525405884
29,14.29131031036377
30,14.15503478050232
31,14.034780502319336
32,14.241878271102905
33,14.18351435661316
34,14.181642770767212
35,14.294751644134521
36,14.00267219543457
37,14.300908088684082
38,14.298079252243042
39,14.635680913925171
40,14.247525453567505
41,14.041070938110352
42,14.182327032089233
43,14.305173873901367
44,14.296995878219604
45,14.179559469223022
46,14.47770357131958
47,14.275153636932373
48,14.41814112663269
49,14.272031545639038
50,14.200032472610474
