Epoch,Time (s)
1,19.61685347557068
2,16.218917846679688
3,16.17033052444458
4,15.426715612411499
5,15.463855504989624
6,15.230203866958618
7,15.462049961090088
8,15.507128477096558
9,15.857231616973877
10,15.389845371246338
11,15.691129922866821
12,15.811951398849487
13,15.753278732299805
14,16.05318331718445
15,16.351600885391235
16,16.226169109344482
17,16.082390069961548
18,16.064581632614136
19,15.853702306747437
20,15.718730211257935
21,16.244805335998535
22,16.22461485862732
23,16.152238607406616
24,15.857914686203003
25,16.056455850601196
26,15.479377746582031
27,15.734967947006226
28,16.372487545013428
29,15.630832195281982
30,15.665255784988403
31,16.50151753425598
32,15.951232433319092
33,15.8984375
34,15.595355987548828
35,16.399106979370117
36,16.167798280715942
37,15.467000961303711
38,16.61033868789673
39,16.24573516845703
40,16.22899031639099
41,16.23840880393982
42,16.13801646232605
43,16.380419969558716
44,16.223966598510742
45,15.989418029785156
46,15.780827522277832
47,16.345446586608887
48,16.006205558776855
49,15.238938331604004
50,16.346774101257324
