Epoch,Time (s)
1,47.477940797805786
2,20.058236598968506
3,19.963860511779785
4,20.10567808151245
5,20.275164127349854
6,19.964462280273438
7,20.471395254135132
8,19.965535879135132
9,20.066268920898438
10,19.976730585098267
11,19.970351457595825
12,20.38852024078369
13,20.31045913696289
14,20.05256152153015
15,20.032877683639526
16,19.8885338306427
17,19.911641597747803
18,20.127269744873047
19,20.08338451385498
20,19.871896743774414
21,19.95054292678833
22,19.95440125465393
23,19.966956615447998
24,20.471683979034424
25,20.52963614463806
26,20.253153562545776
27,20.366519927978516
28,20.032225847244263
29,19.920231342315674
30,20.057570695877075
31,20.283188104629517
32,20.269282579421997
33,20.26486897468567
34,20.00916624069214
35,20.198355674743652
36,19.894387006759644
37,19.939629077911377
38,20.0064697265625
39,19.930473804473877
40,20.253815174102783
41,20.368698358535767
42,20.032501697540283
43,19.944780349731445
44,19.948063373565674
45,20.06032681465149
46,19.93373441696167
47,19.913172245025635
48,19.94825291633606
49,19.969279050827026
50,20.01735758781433
