Epoch,Time (s)
1,17.802727222442627
2,13.331266403198242
3,13.827751159667969
4,13.526129722595215
5,13.677821636199951
6,13.510294198989868
7,13.628638505935669
8,13.582576990127563
9,13.584065198898315
10,13.6951003074646
11,13.51172399520874
12,13.546175241470337
13,13.501498460769653
14,13.44489073753357
15,13.632170677185059
16,13.707792043685913
17,13.439692258834839
18,13.654683589935303
19,13.298078536987305
20,13.604087829589844
21,13.426006555557251
22,13.426265001296997
23,13.679349184036255
24,13.530441522598267
25,13.342948198318481
26,13.416031837463379
27,13.530628442764282
28,13.507521390914917
29,13.73375678062439
30,13.742859840393066
31,13.766534566879272
32,13.664308071136475
33,13.706700801849365
34,13.581310272216797
35,13.420022249221802
36,13.721579551696777
37,13.607168197631836
38,13.794534921646118
39,13.496298789978027
40,13.704941511154175
41,13.573696613311768
42,13.294492959976196
43,13.73858904838562
44,13.509871482849121
45,14.200661420822144
46,13.571499824523926
47,13.898234367370605
48,13.846171855926514
49,13.741166830062866
50,13.756099700927734
