Epoch,Time (s)
1,14.672353267669678
2,13.026159524917603
3,12.784905433654785
4,12.766266822814941
5,13.048968315124512
6,12.626914501190186
7,12.909525156021118
8,12.696424722671509
9,12.995764017105103
10,12.750245809555054
11,13.10767126083374
12,13.039540767669678
13,13.154796600341797
14,13.22669529914856
15,12.959618091583252
16,13.036600828170776
17,12.627588272094727
18,12.866106510162354
19,12.843469858169556
20,12.59921145439148
21,12.825770854949951
22,12.70566725730896
23,12.63664722442627
24,12.813363075256348
25,12.875946760177612
26,13.01938796043396
27,13.16832709312439
28,13.136747360229492
29,12.969626188278198
30,12.899153709411621
31,11.272562026977539
32,12.594667196273804
33,11.300798654556274
34,11.43929386138916
35,11.111192226409912
36,12.888262510299683
37,13.217463493347168
38,13.067880392074585
39,12.979067325592041
40,12.86342453956604
41,12.876446962356567
42,12.861149549484253
43,12.932434320449829
44,13.120194673538208
45,12.595585584640503
46,12.761499166488647
47,12.892019271850586
48,12.515643835067749
49,12.81795072555542
50,12.715396881103516
