Epoch,Time (s)
1,28.692392110824585
2,16.67876172065735
3,16.927460193634033
4,16.616065502166748
5,16.560550689697266
6,16.881839990615845
7,16.820184469223022
8,16.609541177749634
9,16.575602531433105
10,17.153587102890015
11,16.73469090461731
12,16.682276964187622
13,17.12903928756714
14,16.96796226501465
15,16.723499536514282
16,16.892146110534668
17,16.79735827445984
18,16.69498038291931
19,17.159050941467285
20,16.69642448425293
21,16.607996225357056
22,16.653632879257202
23,16.667169094085693
24,16.998116731643677
25,16.83688521385193
26,16.954174757003784
27,16.526557683944702
28,16.802371978759766
29,16.80948805809021
30,16.899616956710815
31,16.654123067855835
32,16.7996187210083
33,16.730430126190186
34,16.808623790740967
35,16.699932098388672
36,16.6795597076416
37,17.154407024383545
38,17.016048192977905
39,16.546079874038696
40,16.708847522735596
41,16.599936485290527
42,16.657057523727417
43,16.947391510009766
44,16.73748755455017
45,16.618765830993652
46,16.7552227973938
47,16.837952852249146
48,16.73922300338745
49,17.046324491500854
50,16.833863735198975
