Epoch,Time (s)
1,35.09281516075134
2,18.04397487640381
3,16.542973041534424
4,16.39469838142395
5,17.28314232826233
6,17.411966562271118
7,17.750150442123413
8,17.68928098678589
9,16.86764883995056
10,17.38964319229126
11,17.26363253593445
12,16.755242347717285
13,18.069714069366455
14,17.561094760894775
15,17.19523024559021
16,16.937493085861206
17,16.82568359375
18,16.606438636779785
19,16.43878149986267
20,16.388351440429688
21,16.28176474571228
22,16.413922786712646
23,16.930352210998535
24,16.740478515625
25,16.385225296020508
26,16.62351894378662
27,16.337188959121704
28,16.35918116569519
29,16.37796664237976
30,16.220266342163086
31,16.3156635761261
32,16.351613521575928
33,16.30060076713562
34,17.957529306411743
35,17.519944429397583
36,17.11455464363098
37,17.647862672805786
38,17.591681718826294
39,17.805944442749023
40,17.479549646377563
41,17.695821046829224
42,17.65598726272583
43,18.12410259246826
44,17.567899703979492
45,17.81577444076538
46,16.799992084503174
47,17.71560049057007
48,17.228149890899658
49,17.669471979141235
50,17.98558783531189
